ell,n,rayleigh_Z,rayleigh_p,phase_entropy,phase_sum_corr
2,2,,,0.27894294571136163,0.9469650647776976
3,3,,,0.44211410875118007,-0.7469239643425849
4,4,,,0.418414418530319,-0.36257260468889757
5,5,1.4442670662560326,0.24705377293561745,0.5361082841647409,-0.9133463469512741
6,6,0.3047801309717184,0.7533619574332222,0.5350950906286601,-0.36344089310720495
7,7,0.20789484248595877,0.8231037063846477,0.7033938670101048,-0.46994655707605765
8,8,0.5980786498952152,0.564804315408692,0.6973573641627953,0.4620667641274824
9,9,1.2278301362583663,0.30126116226124683,0.6748695266089358,-0.15492120333334278
10,10,0.5208943027884462,0.605703165954816,0.8150512297918201,-0.2593494346712588
11,11,0.7602500094533791,0.4779359491373525,0.7936905716960182,-0.11927228197396804
12,12,1.4058334886289978,0.2497312415830952,0.8605285271918103,0.18293367636444147
13,13,0.11471506404721249,0.8953077677972967,0.8014423244367774,-0.08907178752224072
14,14,0.37172318511321584,0.6970661853469377,0.8477490828298779,0.003979194913745577
15,15,0.7262425237657258,0.49137199014178784,0.8757615348550903,-0.054865319730208854
16,16,2.6589671163381556,0.06799958910359355,0.7190645733956277,0.25089754705444894
17,17,0.03942575831513133,0.9624254885545692,0.9184950172552361,-0.027405527767033838
18,18,0.543574125720218,0.587144352740322,0.8801267874538458,-0.255644254178914
19,19,0.17453868314694762,0.8433606806253073,0.8802226000237428,-0.14470480145208786
20,20,1.156309129461513,0.3186115980764394,0.9266284080352492,-0.19178111633048514
21,21,0.22986146018929254,0.7984963526101033,0.9294645056989507,-0.07691146532020937
22,22,1.0622002623198308,0.34971615983603077,0.8951243701029984,-0.28890966015476055
23,23,1.762083851497243,0.1725124759013095,0.81163312755005,0.12506588969538374
24,24,0.15218522406731785,0.8613404907174513,0.8806977001921328,0.11434374489205812
25,25,0.37675830698371254,0.6902998961103188,0.8812029609881196,-0.14265877759989098
26,26,1.6410050523392006,0.1949281689297504,0.8710731889728663,0.2536535060429424
27,27,3.575636920557078,0.026483547028143994,0.8602037090845464,0.0770827641806478
28,28,1.5367508722378553,0.21649276713665472,0.9274470672850191,0.021447065229518954
29,29,1.7344262113749218,0.1772317251867692,0.8296365179610355,0.13815396055746895
30,30,0.3047525275364102,0.7404882755897129,0.8723721179363481,-0.356626603141664
